Rxx(Ohm),ne(cm-2)
1.772245,1.28E+13
3.5438416,1.28E+13
0.96720535,1.28E+13
3.37411,1.27E+13
2.7674503,1.27E+13
3.3513741,1.27E+13
2.6422715,1.27E+13
4.2487717,1.26E+13
3.9309068,1.26E+13
4.4360456,1.26E+13
3.0927467,1.26E+13
4.1122026,1.26E+13
2.2583346,1.25E+13
2.6580429,1.25E+13
3.2737341,1.25E+13
4.058116,1.25E+13
3.7097285,1.25E+13
4.537148,1.24E+13
3.2529054,1.24E+13
4.4631591,1.24E+13
4.4076314,1.24E+13
3.9883385,1.24E+13
3.3744152,1.23E+13
2.9015474,1.23E+13
4.0844851,1.23E+13
4.545929,1.23E+13
3.4089363,1.22E+13
4.3019156,1.22E+13
2.5448253,1.22E+13
3.8480885,1.22E+13
4.3174796,1.22E+13
4.6247735,1.21E+13
5.9648566,1.21E+13
4.7075629,1.21E+13
3.9663658,1.21E+13
3.418679,1.21E+13
5.0988588,1.20E+13
4.0160007,1.20E+13
3.7013328,1.20E+13
4.2850828,1.20E+13
2.7187111,1.19E+13
2.6534395,1.19E+13
4.738512,1.19E+13
4.3141737,1.19E+13
3.126658,1.19E+13
4.6948133,1.18E+13
3.6746559,1.18E+13
3.6813505,1.18E+13
4.3016758,1.18E+13
4.9732742,1.18E+13
4.918745,1.17E+13
3.6644011,1.17E+13
6.243825,1.17E+13
5.1589618,1.17E+13
4.6084046,1.16E+13
5.083107,1.16E+13
5.6108537,1.16E+13
5.6335826,1.16E+13
5.2142577,1.16E+13
5.4573956,1.15E+13
5.467361,1.15E+13
5.4148798,1.15E+13
6.1845055,1.15E+13
6.5951052,1.15E+13
6.2438378,1.14E+13
5.2384448,1.14E+13
6.307703,1.14E+13
5.6435342,1.14E+13
6.08918,1.13E+13
6.2741165,1.13E+13
6.6412449,1.13E+13
6.3606739,1.13E+13
7.7043867,1.13E+13
5.6928086,1.12E+13
6.2910314,1.12E+13
5.8180127,1.12E+13
4.6029968,1.12E+13
5.2678618,1.12E+13
8.5534582,1.11E+13
7.4539423,1.11E+13
6.0660138,1.11E+13
6.0727239,1.11E+13
5.9754043,1.10E+13
5.915215,1.10E+13
7.5541701,1.10E+13
5.5566044,1.10E+13
5.796104,1.10E+13
5.6340256,1.09E+13
6.5042977,1.09E+13
7.0072255,1.09E+13
7.1624999,1.09E+13
7.2268686,1.09E+13
6.0433798,1.08E+13
6.8916683,1.08E+13
8.655427,1.08E+13
8.2589788,1.08E+13
7.6257195,1.07E+13
7.8633261,1.07E+13
8.1077929,1.07E+13
8.6748762,1.07E+13
9.3502541,1.07E+13
10.97246,1.06E+13
7.8472857,1.06E+13
8.6600742,1.06E+13
10.190104,1.06E+13
10.383038,1.06E+13
8.9585857,1.05E+13
7.6343946,1.05E+13
10.071023,1.05E+13
9.4815741,1.05E+13
10.71635,1.04E+13
12.037006,1.04E+13
10.544631,1.04E+13
10.263401,1.04E+13
11.417891,1.04E+13
11.590924,1.03E+13
13.426859,1.03E+13
15.74906,1.03E+13
17.621801,1.03E+13
14.938172,1.03E+13
16.798265,1.02E+13
17.509819,1.02E+13
16.091036,1.02E+13
19.10038,1.02E+13
17.715771,1.01E+13
19.956589,1.01E+13
19.921093,1.01E+13
17.976841,1.01E+13
20.301367,1.01E+13
19.044485,1.00E+13
16.858027,1.00E+13
16.903412,1.00E+13
19.767649,9.97E+12
21.075253,9.95E+12
23.358646,9.93E+12
20.552473,9.91E+12
17.979322,9.89E+12
20.124001,9.87E+12
18.539953,9.85E+12
18.935633,9.82E+12
20.337494,9.80E+12
18.480309,9.78E+12
16.442657,9.76E+12
18.710871,9.74E+12
21.084461,9.72E+12
20.096521,9.70E+12
21.115511,9.68E+12
22.294924,9.65E+12
24.040937,9.63E+12
27.672478,9.61E+12
27.184814,9.59E+12
29.944263,9.57E+12
25.870935,9.55E+12
26.492586,9.53E+12
26.356153,9.50E+12
26.778467,9.48E+12
27.48871,9.46E+12
26.275209,9.44E+12
25.561792,9.42E+12
27.705175,9.40E+12
29.655731,9.38E+12
28.504768,9.35E+12
26.915356,9.33E+12
28.059185,9.31E+12
29.629313,9.29E+12
27.402702,9.27E+12
27.792177,9.25E+12
27.53863,9.23E+12
26.369135,9.20E+12
28.578218,9.18E+12
28.638334,9.16E+12
33.243439,9.14E+12
33.24955,9.12E+12
30.13999,9.10E+12
27.288113,9.08E+12
28.213428,9.05E+12
27.324556,9.03E+12
29.770245,9.01E+12
29.165459,8.99E+12
31.110315,8.97E+12
36.109245,8.95E+12
35.869652,8.93E+12
35.769264,8.90E+12
35.033772,8.88E+12
36.780865,8.86E+12
35.341049,8.84E+12
35.842022,8.82E+12
34.181198,8.80E+12
33.986668,8.78E+12
32.928471,8.75E+12
33.933323,8.73E+12
37.755871,8.71E+12
36.517498,8.69E+12
39.067173,8.67E+12
39.338005,8.65E+12
40.149467,8.63E+12
41.257824,8.60E+12
39.145699,8.58E+12
39.286552,8.56E+12
39.766335,8.54E+12
41.996346,8.52E+12
43.892632,8.50E+12
43.047794,8.48E+12
41.697796,8.46E+12
44.82304,8.43E+12
42.543198,8.41E+12
42.668297,8.39E+12
43.120701,8.37E+12
45.466785,8.35E+12
42.845188,8.33E+12
44.37986,8.31E+12
47.631382,8.28E+12
47.318188,8.26E+12
44.761524,8.24E+12
41.729317,8.22E+12
41.811378,8.20E+12
48.491596,8.18E+12
47.092396,8.16E+12
47.598465,8.13E+12
47.891693,8.11E+12
48.834755,8.09E+12
50.373486,8.07E+12
47.830452,8.05E+12
48.922634,8.03E+12
48.939465,8.01E+12
49.925499,7.98E+12
51.444599,7.96E+12
57.35004,7.94E+12
54.985592,7.92E+12
55.666004,7.90E+12
52.971432,7.88E+12
56.42828,7.86E+12
56.50629,7.83E+12
58.265533,7.81E+12
54.061882,7.79E+12
58.196869,7.77E+12
63.268208,7.75E+12
61.6534,7.73E+12
59.267811,7.71E+12
61.10247,7.68E+12
60.759155,7.66E+12
63.310562,7.64E+12
68.219406,7.62E+12
66.854507,7.60E+12
64.152122,7.58E+12
65.962296,7.56E+12
66.201439,7.53E+12
65.042679,7.51E+12
60.762005,7.49E+12
64.270905,7.47E+12
69.717644,7.45E+12
72.435524,7.43E+12
72.550835,7.41E+12
74.670471,7.39E+12
77.096512,7.36E+12
79.658447,7.34E+12
82.317345,7.32E+12
91.563278,7.30E+12
93.901817,7.28E+12
89.39872,7.26E+12
89.425903,7.24E+12
96.775459,7.21E+12
103.5996,7.19E+12
112.89532,7.17E+12
111.89554,7.15E+12
120.88244,7.13E+12
124.13422,7.11E+12
126.00311,7.09E+12
126.14053,7.06E+12
136.89119,7.04E+12
151.70117,7.02E+12
160.62971,7.00E+12
150.57607,6.98E+12
156.68568,6.96E+12
164.57391,6.94E+12
176.43161,6.91E+12
180.79752,6.89E+12
196.33105,6.87E+12
206.15677,6.85E+12
194.22444,6.83E+12
203.43849,6.81E+12
217.48817,6.79E+12
220.18581,6.76E+12
223.57278,6.74E+12
229.74025,6.72E+12
249.44295,6.70E+12
273.35764,6.68E+12
291.82004,6.66E+12
311.42047,6.64E+12
310.22,6.61E+12
321.93533,6.59E+12
368.46252,6.57E+12
381.7699,6.55E+12
376.55661,6.53E+12
395.59595,6.51E+12
448.41837,6.49E+12
492.78833,6.46E+12
499.04733,6.44E+12
524.75537,6.42E+12
524.0708,6.40E+12
553.56952,6.38E+12
565.45251,6.36E+12
584.44867,6.34E+12
644.63672,6.32E+12
681.51196,6.29E+12
679.66956,6.27E+12
691.95746,6.25E+12
708.5434,6.23E+12
717.05005,6.21E+12
739.47943,6.19E+12
786.3078,6.17E+12
816.69031,6.14E+12
836.05859,6.12E+12
827.39343,6.10E+12
830.30817,6.08E+12
820.98383,6.06E+12
883.52106,6.04E+12
963.3172,6.02E+12
1003.553,5.99E+12
1073.7242,5.97E+12
1089.311,5.95E+12
1159.7118,5.93E+12
1140.9479,5.91E+12
1170.9408,5.89E+12
1167.5621,5.87E+12
1193.364,5.84E+12
1267.5469,5.82E+12
1290.0913,5.80E+12
1307.3824,5.78E+12
1410.7736,5.76E+12
1484.4998,5.74E+12
1492.5452,5.72E+12
1558.6179,5.69E+12
1722.1556,5.67E+12
1606.832,5.65E+12
1644.5189,5.63E+12
1609.8746,5.61E+12
1621.9149,5.59E+12
1751.3298,5.57E+12
1823.4359,5.54E+12
1850.0226,5.52E+12
1903.9752,5.50E+12
1901.3453,5.48E+12
1916.0638,5.46E+12
1876.8787,5.44E+12
2256.0615,5.42E+12
2201.9468,5.39E+12
2020.9169,5.37E+12
1921.8344,5.35E+12
1908.8489,5.33E+12
2185.8799,5.31E+12
2407.7029,5.29E+12
2419.04,5.27E+12
2380.8767,5.24E+12
2438.094,5.22E+12
2528.5144,5.20E+12
2608.0649,5.18E+12
2801.678,5.16E+12
2534.446,5.14E+12
2484.9719,5.12E+12
2663.6404,5.10E+12
2919.0022,5.07E+12
3171.6765,5.05E+12
2892.4377,5.03E+12
2907.6536,5.01E+12
2599.5918,4.99E+12
3232.7029,4.97E+12
3281.0427,4.95E+12
2958.3032,4.92E+12
3084.7776,4.90E+12
3060.9685,4.88E+12
3358.6819,4.86E+12
3951.5515,4.84E+12
3930.9072,4.82E+12
4697.6108,4.80E+12
3982.8701,4.77E+12
4484.3091,4.75E+12
4219.8184,4.73E+12
3669.1262,4.71E+12
4137.0361,4.69E+12
4387.3936,4.67E+12
4366.7324,4.65E+12
4258.6284,4.62E+12
4224.5884,4.60E+12
4699.7896,4.58E+12
5337.8335,4.56E+12
5413.5806,4.54E+12
4957.144,4.52E+12
6013.8579,4.50E+12
6398.1431,4.47E+12
5281.0723,4.45E+12
5575.3018,4.43E+12
5472.1802,4.41E+12
4787.9956,4.39E+12
5153.085,4.37E+12
7529.7861,4.35E+12
10391.853,4.32E+12
9923.2275,4.30E+12
8849.7939,4.28E+12
7350.9019,4.26E+12
6624.0103,4.24E+12
7287.833,4.22E+12
6226.832,4.20E+12
7882.8965,4.17E+12
8423.5547,4.15E+12
7853.7241,4.13E+12
7196.106,4.11E+12
8177.0493,4.09E+12
7814.3765,4.07E+12
9564.6523,4.05E+12
11122.688,4.03E+12
12734.657,4.00E+12
13640.898,3.98E+12
10623.766,3.96E+12
11945.512,3.94E+12
12257.856,3.92E+12
11761.021,3.90E+12
11985.077,3.88E+12
15126.339,3.85E+12
16722.414,3.83E+12
12536.16,3.81E+12
12997.699,3.79E+12
13304.38,3.77E+12
14787.245,3.75E+12
17867.49,3.73E+12
16917.695,3.70E+12
18858.779,3.68E+12
21498.432,3.66E+12
27979.771,3.64E+12
25214.523,3.62E+12
19378.828,3.60E+12
23674.098,3.58E+12
27261.307,3.55E+12
30701.102,3.53E+12
27453.426,3.51E+12
25335.135,3.49E+12
26382.258,3.47E+12
30820.273,3.45E+12
45329.348,3.43E+12
31341.709,3.40E+12
26085.863,3.38E+12
20092.441,3.36E+12
26525.191,3.34E+12
39800.438,3.32E+12
37898.73,3.30E+12
48288.387,3.28E+12
36047.426,3.25E+12
26458.348,3.23E+12
53567.797,3.21E+12
48171.363,3.19E+12
59326.281,3.17E+12
107394.35,3.15E+12
127813.77,3.13E+12
98636.531,3.10E+12
165825.98,3.08E+12
90874.828,3.06E+12
161781.17,3.04E+12
118159.27,3.02E+12
138870.69,3.00E+12
232804.62,2.98E+12
273899.75,2.95E+12
385438.53,2.93E+12
389540.12,2.91E+12
425385.31,2.89E+12
480369.25,2.87E+12
824492.56,2.85E+12
1814741.8,2.83E+12
