Rxx(Ohm),ne(cm-2)
18955.18,-1.98E+13
18569.482,-1.98E+13
16931.32,-1.98E+13
17035.215,-1.98E+13
16386.717,-1.97E+13
16478.148,-1.97E+13
16177.674,-1.97E+13
16707.475,-1.97E+13
18688.988,-1.96E+13
18032.369,-1.96E+13
18066.867,-1.96E+13
15852.398,-1.96E+13
16520.568,-1.96E+13
18365.242,-1.95E+13
17715.938,-1.95E+13
17562.91,-1.95E+13
16820.152,-1.95E+13
19104.621,-1.95E+13
20093.355,-1.94E+13
19979.207,-1.94E+13
22700.293,-1.94E+13
22440.113,-1.94E+13
21430.828,-1.93E+13
21675.426,-1.93E+13
21862.508,-1.93E+13
18250.281,-1.93E+13
17800.494,-1.93E+13
15487.785,-1.92E+13
15776.578,-1.92E+13
17377.756,-1.92E+13
19986.787,-1.92E+13
19369.34,-1.92E+13
19548.635,-1.91E+13
19270.445,-1.91E+13
20513.303,-1.91E+13
19238.209,-1.91E+13
19324.074,-1.90E+13
20072.322,-1.90E+13
19121.539,-1.90E+13
18962.959,-1.90E+13
17509.07,-1.90E+13
15813.276,-1.89E+13
16330.435,-1.89E+13
16145.361,-1.89E+13
16206.742,-1.89E+13
15786.22,-1.89E+13
14605.758,-1.88E+13
15784.09,-1.88E+13
16419.32,-1.88E+13
15782.076,-1.88E+13
17535.666,-1.87E+13
16639.285,-1.87E+13
17155.799,-1.87E+13
15600.171,-1.87E+13
17079.754,-1.87E+13
20943.15,-1.86E+13
20612.779,-1.86E+13
17197.363,-1.86E+13
16290.341,-1.86E+13
17740.572,-1.86E+13
19183.514,-1.85E+13
17928.629,-1.85E+13
19198.141,-1.85E+13
18378.361,-1.85E+13
18003.623,-1.84E+13
18685.031,-1.84E+13
18074.734,-1.84E+13
22064.68,-1.84E+13
21677.172,-1.84E+13
20646.512,-1.83E+13
19139.334,-1.83E+13
18896.314,-1.83E+13
20568.133,-1.83E+13
19644.463,-1.83E+13
17696.826,-1.82E+13
20268.471,-1.82E+13
19891.684,-1.82E+13
19431.328,-1.82E+13
18283.516,-1.82E+13
19544.572,-1.81E+13
21279.959,-1.81E+13
18928.779,-1.81E+13
19360.664,-1.81E+13
17566.762,-1.80E+13
16819.752,-1.80E+13
18102.953,-1.80E+13
17168.125,-1.80E+13
18137.463,-1.80E+13
19252.492,-1.79E+13
22294.012,-1.79E+13
22579.035,-1.79E+13
21268.242,-1.79E+13
21041.037,-1.79E+13
17713.049,-1.78E+13
18746.1,-1.78E+13
18976.926,-1.78E+13
22222.121,-1.78E+13
22390.926,-1.77E+13
19637.943,-1.77E+13
19090.35,-1.77E+13
21207.256,-1.77E+13
19694.805,-1.77E+13
20016.064,-1.76E+13
17037.518,-1.76E+13
17556.379,-1.76E+13
23949.336,-1.76E+13
24990.408,-1.76E+13
24378.076,-1.75E+13
20884.168,-1.75E+13
18986.064,-1.75E+13
21924.332,-1.75E+13
18412.805,-1.74E+13
18901.602,-1.74E+13
21653.197,-1.74E+13
22342.352,-1.74E+13
23763.162,-1.74E+13
22630.723,-1.73E+13
21578.51,-1.73E+13
19295.141,-1.73E+13
17416.756,-1.73E+13
19586.273,-1.73E+13
20396.906,-1.72E+13
22558.396,-1.72E+13
21484.451,-1.72E+13
24219.98,-1.72E+13
