Rxx(Ohm),ne(cm-2)
17650.828,-1.98186E+13
16800.588,-1.97974E+13
17840.418,-1.97762E+13
18262.586,-1.9755E+13
16719.492,-1.97338E+13
18319.311,-1.97126E+13
18933.564,-1.96914E+13
19458.17,-1.96702E+13
20159.879,-1.9649E+13
18957.994,-1.96278E+13
20274.045,-1.96066E+13
20708.309,-1.95854E+13
20293.891,-1.95642E+13
21467.967,-1.9543E+13
21606.428,-1.95218E+13
19610.354,-1.95006E+13
20382.064,-1.94794E+13
19425.045,-1.94582E+13
19463.266,-1.9437E+13
18516.92,-1.94158E+13
18501.678,-1.93946E+13
19590.746,-1.93734E+13
19344.453,-1.93522E+13
18217.945,-1.9331E+13
18212.23,-1.93098E+13
19823.68,-1.92886E+13
18668.432,-1.92674E+13
19501.258,-1.92462E+13
18630.801,-1.9225E+13
18788,-1.92038E+13
19758.324,-1.91826E+13
18797.236,-1.91614E+13
18811.84,-1.91402E+13
16693.773,-1.9119E+13
17817.658,-1.90978E+13
20556.516,-1.90766E+13
20472.32,-1.90554E+13
20731.924,-1.90342E+13
18100.057,-1.9013E+13
17875.85,-1.89918E+13
18226.023,-1.89707E+13
18328.023,-1.89495E+13
18882.469,-1.89283E+13
17972.916,-1.89071E+13
16706.359,-1.88859E+13
15250.015,-1.88647E+13
15017.248,-1.88435E+13
14205.386,-1.88223E+13
15329.372,-1.88011E+13
16271.497,-1.87799E+13
18963.354,-1.87587E+13
18169.875,-1.87375E+13
17891.402,-1.87163E+13
17275.078,-1.86951E+13
17755.785,-1.86739E+13
16812.836,-1.86527E+13
17119.871,-1.86315E+13
20489,-1.86103E+13
19771.816,-1.85891E+13
19692.131,-1.85679E+13
18615.426,-1.85467E+13
19571.783,-1.85255E+13
19891.799,-1.85043E+13
20435.908,-1.84831E+13
18710.576,-1.84619E+13
19503.027,-1.84407E+13
20439.018,-1.84195E+13
18902.951,-1.83983E+13
16768.076,-1.83771E+13
18282.178,-1.83559E+13
19441.799,-1.83347E+13
22208.945,-1.83135E+13
21088.031,-1.82923E+13
19221.523,-1.82711E+13
18194.186,-1.82499E+13
17936.537,-1.82287E+13
19289.684,-1.82075E+13
17670.322,-1.81863E+13
19566.889,-1.81651E+13
19296.719,-1.81439E+13
18235.395,-1.81227E+13
16252.275,-1.81015E+13
17058.699,-1.80803E+13
16940.924,-1.80592E+13
18112.926,-1.8038E+13
19821.01,-1.80168E+13
23553.242,-1.79956E+13
24195.73,-1.79744E+13
22013.166,-1.79532E+13
20368.537,-1.7932E+13
20527.711,-1.79108E+13
21568.127,-1.78896E+13
20738.178,-1.78684E+13
20536.982,-1.78472E+13
21397.906,-1.7826E+13
22672.924,-1.78048E+13
23256.01,-1.77836E+13
21902.037,-1.77624E+13
20471.164,-1.77412E+13
18290.711,-1.772E+13
22111.736,-1.76988E+13
22602.898,-1.76776E+13
22306.52,-1.76564E+13
25351.107,-1.76352E+13
24937.42,-1.7614E+13
25063.535,-1.75928E+13
23820.51,-1.75716E+13
25893.586,-1.75504E+13
24257.109,-1.75292E+13
24846.018,-1.7508E+13
26503.574,-1.74868E+13
22367.395,-1.74656E+13
21888.352,-1.74444E+13
21104.205,-1.74232E+13
21385.133,-1.7402E+13
22556.348,-1.73808E+13
24000.994,-1.73596E+13
25816.072,-1.73384E+13
26698.846,-1.73172E+13
27139.91,-1.7296E+13
30538.76,-1.72748E+13
26809.357,-1.72536E+13
24748.699,-1.72324E+13
22568.998,-1.72112E+13
24082.084,-1.719E+13
23087.48,-1.71688E+13
27545.814,-1.71477E+13
26792.221,-1.71265E+13
23817.795,-1.71053E+13
22651.076,-1.70841E+13
22359.09,-1.70629E+13
27566.016,-1.70417E+13
28276.404,-1.70205E+13
27041.527,-1.69993E+13
23244.355,-1.69781E+13
22900.299,-1.69569E+13
22572.473,-1.69357E+13
23412.531,-1.69145E+13
23792.486,-1.68933E+13
23647.975,-1.68721E+13
23811.459,-1.68509E+13
22057.479,-1.68297E+13
22770.172,-1.68085E+13
20003.939,-1.67873E+13
21667.527,-1.67661E+13
16701.057,-1.67449E+13
20454.75,-1.67237E+13
22127.123,-1.67025E+13
24357.611,-1.66813E+13
23927.994,-1.66601E+13
20182.049,-1.66389E+13
21238.713,-1.66177E+13
21852.377,-1.65965E+13
22137.879,-1.65753E+13
18465.023,-1.65541E+13
18362.566,-1.65329E+13
17936.412,-1.65117E+13
19184.824,-1.64905E+13
20748.211,-1.64693E+13
20626.941,-1.64481E+13
20425.148,-1.64269E+13
26320.455,-1.64057E+13
27020.416,-1.63845E+13
25471.242,-1.63633E+13
23568.023,-1.63421E+13
23874.895,-1.63209E+13
24557.643,-1.62997E+13
25027.488,-1.62785E+13
27928.395,-1.62573E+13
26302.346,-1.62361E+13
26947.787,-1.6215E+13
29831.059,-1.61938E+13
29712.053,-1.61726E+13
28964.186,-1.61514E+13
23184.537,-1.61302E+13
23441.096,-1.6109E+13
22785.371,-1.60878E+13
23298.652,-1.60666E+13
25937.51,-1.60454E+13
28745.287,-1.60242E+13
31155.975,-1.6003E+13
32498.354,-1.59818E+13
33964.406,-1.59606E+13
33618.422,-1.59394E+13
37184.484,-1.59182E+13
36198.707,-1.5897E+13
33767.93,-1.58758E+13
28570.443,-1.58546E+13
27387.889,-1.58334E+13
27355.4,-1.58122E+13
28355.639,-1.5791E+13
32522.676,-1.57698E+13
31991.443,-1.57486E+13
31447.033,-1.57274E+13
34818.996,-1.57062E+13
33479.426,-1.5685E+13
29718.23,-1.56638E+13
37775.52,-1.56426E+13
39376.195,-1.56214E+13
38038.656,-1.56002E+13
37554.602,-1.5579E+13
38618.328,-1.55578E+13
37390.555,-1.55366E+13
44662.293,-1.55154E+13
42064.469,-1.54942E+13
39099.293,-1.5473E+13
49830.812,-1.54518E+13
48460.504,-1.54306E+13
