Rxx(Ohm),T(mK)
,4
,12
5.1018438,20
4.9687963,28
5.2450376,36
5.6420236,44
6.6552768,52
7.6714215,60
9.3499756,68
11.221925,76
13.751913,84
17.533245,92
21.957569,100
26.446857,108
32.503174,116
37.622112,124
42.666328,132
48.366425,140
54.155575,148
59.747158,156
64.915047,164
70.130539,172
74.740517,180
80.650764,188
87.568214,196
93.466621,204
98.598366,212
106.42112,220
115.53448,228
124.4043,236
132.93185,244
144.43198,252
160.16545,260
179.62173,268
203.3842,276
230.91193,284
251.55559,292
275.46591,300
301.70175,308
330.62799,316
360.50946,324
393.73654,332
437.41974,340
464.63385,348
487.11819,356
520.1308,364
551.18811,372
580.06219,380
615.06482,388
641.04938,396
662.01447,404
692.29626,412
719.43097,420
731.70435,428
757.07697,436
788.79541,444
809.78778,452
836.2428,460
856.43433,468
875.87408,476
894.73975,484
916.86493,492
920.27179,500
951.00433,508
966.67761,516
967.26959,524
976.69141,532
990.58276,540
999.97559,548
1008.9222,556
1015.6032,564
1027.2339,572
1034.0914,580
1035.8894,588
1036.512,596
1046.4004,604
1052.7831,612
1059.3358,620
1062.637,628
1072.1656,636
1075.9857,644
1079.9149,652
1095.7949,660
1106.623,668
1095.3706,676
1104.3087,684
1098.6804,692
1105.7472,700
1103.4852,708
1104.1244,716
1108.6625,724
1108.6738,732
1106.3872,740
1107.5342,748
1110.9379,756
1121.8889,764
1131.7085,772
1125.6143,780
1128.6604,788
1131.3601,796
1131.6472,804
1140.0065,812
1150.769,820
1136.8583,828
1131.3304,836
1128.5629,844
1133.887,852
1136.2404,860
,868
,876
,884
,892
,900
,908
,916
,924
,932
,940
,948
,956
,964
,972
,980
,988
,996
