Rxx(Ohm),T(mK)
,4
,12
0.23117667,20
0.24298385,28
0.25940311,36
0.26787594,44
0.20460494,52
0.20080908,60
0.24945305,68
0.21491922,76
0.30178228,84
0.21251477,92
0.17521913,100
0.26149207,108
0.22762157,116
0.26310074,124
0.24683276,132
0.24949163,140
0.20322762,148
0.31019914,156
0.2826933,164
0.36829737,172
0.31738937,180
0.35067615,188
0.24888447,196
0.37751186,204
0.29640749,212
0.32232493,220
0.37090585,228
0.38197896,236
0.50217056,244
0.44652849,252
0.42130294,260
0.38846442,268
0.40678707,276
0.5474956,284
0.5808351,292
0.48716763,300
0.76360381,308
0.78406155,316
0.69389749,324
0.80094421,332
0.86900353,340
0.82525343,348
1.0300758,356
1.3212621,364
1.5298982,372
1.6463795,380
1.9362916,388
2.332365,396
2.7151384,404
3.1789882,412
3.756886,420
4.3907299,428
4.9540925,436
6.0512109,444
7.0680265,452
8.0901365,460
9.5127611,468
10.980515,476
12.751417,484
14.674737,492
16.931873,500
19.569941,508
21.986275,516
24.545351,524
26.577648,532
28.827948,540
31.778471,548
35.112965,556
37.762318,564
39.834503,572
43.231167,580
46.851078,588
51.022022,596
55.092743,604
59.400806,612
63.974312,620
69.398514,628
75.323715,636
81.966873,644
89.226555,652
95.894249,660
103.48652,668
110.51318,676
117.89595,684
124.39951,692
131.60912,700
138.03465,708
144.11708,716
148.84483,724
153.83846,732
159.44165,740
164.42168,748
169.8385,756
174.186,764
178.48932,772
182.95927,780
186.05032,788
188.49881,796
189.91492,804
193.19627,812
196.65288,820
199.10497,828
201.32219,836
202.50427,844
202.8475,852
205.48508,860
206.68535,868
208.10298,876
209.23389,884
211.68977,892
213.13628,900
214.52197,908
216.45688,916
218.3324,924
217.18767,932
220.11955,940
220.16118,948
221.91986,956
223.6882,964
225.6237,972
225.4397,980
224.9693,988
224.98131,996
