Rxx(Ohm),T(mK)
,4
,12
,20
5.7274885,28
6.0217137,36
6.3608599,44
6.545702,52
6.8164492,60
7.3032537,68
7.9669981,76
8.6281691,84
9.3857908,92
10.156267,100
11.1152,108
12.023524,116
13.400113,124
14.34832,132
15.914613,140
17.220659,148
18.565746,156
19.852762,164
21.107645,172
22.415312,180
23.613869,188
24.623678,196
25.694765,204
27.287537,212
27.689962,220
29.270992,228
30.307659,236
31.423687,244
32.157295,252
33.862057,260
35.056725,268
37.406918,276
38.898796,284
41.296753,292
44.139793,300
46.980011,308
51.17979,316
55.717754,324
61.938492,332
67.129875,340
73.641144,348
80.482559,356
86.528435,364
93.317963,372
99.972435,380
106.39037,388
112.19659,396
118.07233,404
124.84032,412
130.02568,420
135.3582,428
140.74326,436
147.06374,444
152.80702,452
158.13536,460
162.69984,468
167.46483,476
173.08237,484
178.15581,492
182.88022,500
187.4397,508
191.99655,516
195.57312,524
198.33745,532
201.95435,540
204.02454,548
206.8622,556
209.9639,564
211.02072,572
212.35225,580
214.15479,588
215.73466,596
217.68346,604
218.37682,612
219.94202,620
221.63184,628
222.14656,636
223.77151,644
225.51932,652
226.72964,660
228.52864,668
228.93002,676
229.71152,684
231.17114,692
231.55186,700
231.94943,708
232.74001,716
233.74126,724
233.71193,732
235.36961,740
235.99455,748
237.36403,756
237.87134,764
238.88097,772
239.35242,780
239.0999,788
238.97701,796
240.50139,804
240.18629,812
240.36484,820
241.1026,828
241.80132,836
241.8709,844
240.62097,852
240.09219,860
239.44792,868
239.68073,876
238.83423,884
239.54153,892
239.81531,900
239.75615,908
239.90831,916
241.30559,924
241.80138,932
241.58316,940
242.28728,948
242.48997,956
242.15494,964
242.54614,972
243.19565,980
242.59343,988
242.50317,996
