Rxx(ohm),Inv_T(inv_K)
,2
,0.66666669
,0.40000001
,0.2857143
,0.22222222
,0.18181819
,0.15384616
,0.13333334
,0.11764706
,0.10526316
,0.095238097
,0.086956523
,0.079999998
,0.074074075
,0.068965517
,0.064516127
,0.060606062
,0.057142857
,0.054054055
,0.051282052
,0.048780486
,0.046511628
,0.044444446
,0.04255319
,0.040816326
,0.039215688
,0.03773585
,0.036363635
,0.03508772
,0.033898305
,0.032786883
,0.031746034
0.075890556,0.030769231
0.11637414,0.029850746
0.15382701,0.028985508
0.12386354,0.028169014
0.12227793,0.02739726
0.14309704,0.026666667
0.1456603,0.025974026
0.17558245,0.025316456
0.19314036,0.024691358
0.08437553,0.024096385
0.10694689,0.023529412
0.15641338,0.022988506
0.15586497,0.02247191
0.17673701,0.021978023
0.043112963,0.021505376
0.11301764,0.021052632
0.15969633,0.020618556
0.086257666,0.02020202
0.11366796,0.01980198
0.12656365,0.019417476
0.065844581,0.01904762
0.049005728,0.018691588
0.13257633,0.018348623
0.18533707,0.018018018
0.10792008,0.017699115
-0.082454287,0.017391304
0.17338888,0.017094018
0.1335071,0.016806724
0.14839238,0.016528925
0.12514248,0.016260162
0.22492553,0.016000001
0.22251269,0.015748031
0.11159299,0.015503876
0.21185465,0.015267176
0.087414704,0.015037594
-0.019658756,0.014814815
0.20164448,0.01459854
0.22498758,0.01438849
0.38904423,0.014184397
0.077709831,0.013986014
0.23043579,0.013793103
0.16724965,0.013605442
0.10535482,0.013422819
0.13992542,0.013245033
0.035399109,0.013071896
0.15705332,0.012903226
0.17854068,0.012738854
0.10128892,0.012578616
0.022482151,0.01242236
0.20345145,0.012269938
0.028224193,0.012121212
0.12992834,0.011976048
0.12580656,0.01183432
0.011214559,0.011695907
0.12289436,0.011560693
-0.065951444,0.011428571
0.027357452,0.011299435
0.24502349,0.011173184
0.22677307,0.011049724
0.37776875,0.010928961
0.1793866,0.010810811
0.12843947,0.010695187
0.24910563,0.01058201
0.27465081,0.010471204
0.0505509,0.010362694
0.4900462,0.010256411
0.28750804,0.010152284
0.14473495,0.010050251
0.26725116,0.009950249
