Rxx(Ohm),Inv_T(inv_K)
,2
,0.66666669
,0.40000001
,0.2857143
,0.22222222
,0.18181819
,0.15384616
,0.13333334
,0.11764706
,0.10526316
,0.095238097
,0.086956523
,0.079999998
,0.074074075
,0.068965517
,0.064516127
,0.060606062
,0.057142857
,0.054054055
,0.051282052
,0.048780486
,0.046511628
,0.044444446
,0.04255319
,0.040816326
,0.039215688
,0.03773585
,0.036363635
,0.03508772
,0.033898305
,0.032786883
,0.031746034
45.67485,0.030769231
46.236134,0.029850746
47.184502,0.028985508
47.569096,0.028169014
46.983021,0.02739726
46.761719,0.026666667
47.050999,0.025974026
46.986134,0.025316456
47.109268,0.024691358
47.161522,0.024096385
47.323109,0.023529412
47.745586,0.022988506
47.190311,0.02247191
47.799595,0.021978023
48.049229,0.021505376
48.112839,0.021052632
48.315514,0.020618556
48.331314,0.02020202
48.85709,0.01980198
48.111359,0.019417476
47.646152,0.01904762
45.370434,0.018691588
46.062115,0.018348623
48.211742,0.018018018
48.923279,0.017699115
48.574009,0.017391304
47.565304,0.017094018
48.549366,0.016806724
49.371559,0.016528925
47.254585,0.016260162
48.25499,0.016000001
49.148972,0.015748031
49.723919,0.015503876
50.564304,0.015267176
48.954601,0.015037594
46.295788,0.014814815
45.404556,0.01459854
44.97554,0.01438849
45.700684,0.014184397
46.79797,0.013986014
48.731953,0.013793103
49.541191,0.013605442
50.76128,0.013422819
50.966808,0.013245033
50.833172,0.013071896
51.704174,0.012903226
50.913063,0.012738854
47.923759,0.012578616
49.715134,0.01242236
47.377663,0.012269938
52.181496,0.012121212
48.741589,0.011976048
47.3083,0.01183432
50.43618,0.011695907
48.540462,0.011560693
49.684662,0.011428571
49.196991,0.011299435
48.974926,0.011173184
47.955639,0.011049724
50.208714,0.010928961
49.096142,0.010810811
48.342518,0.010695187
48.156189,0.01058201
50.168133,0.010471204
50.37048,0.010362694
49.999592,0.010256411
52.972328,0.010152284
51.585033,0.010050251
52.243622,0.009950249
52.870731,0.009852217
52.045395,0.009756098
53.404518,0.009661836
49.637272,0.009569378
51.197247,0.009478673
49.115623,0.009389672
