Rxx(Ohm),T(mK)
,2
,0.66666669
,0.40000001
,0.2857143
,0.22222222
,0.18181819
,0.15384616
,0.13333334
,0.11764706
,0.10526316
,0.095238097
,0.086956523
,0.079999998
,0.074074075
,0.068965517
,0.064516127
,0.060606062
,0.057142857
,0.054054055
,0.051282052
,0.048780486
,0.046511628
,0.044444446
,0.04255319
,0.040816326
,0.039215688
,0.03773585
,0.036363635
,0.03508772
,0.033898305
,0.032786883
,0.031746034
262.57748,0.030769231
264.0874,0.029850746
265.34064,0.028985508
267.48145,0.028169014
268.90793,0.02739726
268.91925,0.026666667
268.0235,0.025974026
267.71759,0.025316456
265.46732,0.024691358
264.98151,0.024096385
263.38068,0.023529412
262.8746,0.022988506
263.96069,0.02247191
262.914,0.021978023
264.79367,0.021505376
264.56512,0.021052632
267.33963,0.020618556
266.0098,0.02020202
265.34995,0.01980198
266.80905,0.019417476
269.97769,0.01904762
270.35019,0.018691588
266.94629,0.018348623
265.29794,0.018018018
265.44235,0.017699115
268.00583,0.017391304
266.07581,0.017094018
262.65552,0.016806724
262.67242,0.016528925
263.5506,0.016260162
266.25964,0.016000001
266.64105,0.015748031
264.7276,0.015503876
265.20828,0.015267176
260.18256,0.015037594
262.79126,0.014814815
261.92422,0.01459854
262.1702,0.01438849
266.00729,0.014184397
264.81259,0.013986014
264.63412,0.013793103
265.84235,0.013605442
266.35532,0.013422819
264.63876,0.013245033
263.50244,0.013071896
264.60672,0.012903226
261.32855,0.012738854
262.84415,0.012578616
262.69302,0.01242236
264.49191,0.012269938
267.11789,0.012121212
266.97488,0.011976048
267.65765,0.01183432
265.51709,0.011695907
266.72025,0.011560693
265.53986,0.011428571
262.74243,0.011299435
261.90433,0.011173184
262.04669,0.011049724
262.07874,0.010928961
263.38879,0.010810811
260.54178,0.010695187
261.22974,0.01058201
262.55292,0.010471204
264.09833,0.010362694
265.00815,0.010256411
262.33249,0.010152284
264.03922,0.010050251
262.55771,0.009950249
263.44739,0.009852217
259.75797,0.009756098
263.58087,0.009661836
264.7175,0.009569378
265.33743,0.009478673
263.67249,0.009389672
263.80087,0.009302326
