Rxx(Ohm),B(mT)
339.55167,150.0047254
339.06973,149.7044156
340.44666,149.4041059
338.83673,149.1037961
339.10968,148.8034864
339.3107,148.5031766
338.66663,148.2028668
338.8288,147.9025571
340.07544,147.6022473
340.22797,147.3019376
338.86102,147.0016278
338.6344,146.701318
338.94824,146.4010083
338.75589,146.1006985
339.09406,145.8003888
339.16693,145.500079
338.57922,145.1997692
337.67059,144.8994595
337.57336,144.5991497
338.41772,144.2988399
338.58783,143.9985302
338.6344,143.6982204
340.0842,143.3979107
341.19382,143.0976009
341.05005,142.7972911
339.81021,142.4969814
339.15826,142.1966716
340.38925,141.8963619
339.64883,141.5960521
339.04544,141.2957423
338.20108,140.9954326
338.46634,140.6951228
338.68298,140.3948131
338.85309,140.0945033
339.3992,139.7941935
339.35059,139.4938838
338.80447,139.193574
339.72177,138.8932643
339.76163,138.5929545
338.92596,138.2926447
339.28641,137.992335
338.20108,137.6920252
338.80447,137.3917155
338.61212,137.0914057
338.56354,136.7910959
339.90536,136.4907862
340.80707,136.1904764
338.7316,135.8901667
339.26212,135.5898569
340.32516,135.2895471
339.15826,134.9892374
338.65872,134.6889276
339.16693,134.3886179
339.23782,134.0883081
338.6344,133.7879983
338.99686,133.4876886
339.19122,133.1873788
339.38358,132.887069
340.27655,132.5867593
339.21555,132.2864495
339.77036,131.9861398
339.45651,131.68583
339.42349,131.3855202
340.6633,131.0852105
340.46893,130.7849007
341.3396,130.484591
340.39804,130.1842812
339.85678,129.8839714
337.40329,129.5836617
337.45187,129.2833519
336.672,128.9830422
338.46634,128.6827324
339.93842,128.3824226
338.39346,128.0821129
337.98444,127.7818031
338.97256,127.4814934
339.3107,127.1811836
341.38617,126.8808738
340.61472,126.5805641
340.46893,126.2802543
340.63901,125.9799446
340.27655,125.6796348
340.42236,125.379325
340.63901,125.0790153
338.09534,124.7787055
338.39346,124.4783958
339.28641,124.178086
340.71188,123.8777762
338.10388,123.5774665
338.0553,123.2771567
338.99686,122.9768469
338.58783,122.6765372
338.82016,122.3762274
340.43585,122.0759177
338.61212,121.7756079
338.53061,121.4752981
338.6344,121.1749884
338.50632,120.8746786
338.78018,120.5743689
338.36914,120.2740591
339.42349,119.9737493
339.15826,119.6734396
338.53922,119.3731298
338.0553,119.0728201
337.93582,118.7725103
337.7572,118.4722005
338.90167,118.1718908
340.75848,117.871581
340.17938,117.5712713
338.36914,117.2709615
338.58783,116.9706517
338.8288,116.670342
338.87738,116.3700322
339.84326,116.0697225
339.97824,115.7694127
340.1618,115.4691029
339.4808,115.1687932
339.72177,114.8684834
341.26672,114.5681737
340.13278,114.2678639
339.26212,113.9675541
338.6344,113.6672444
338.29828,113.3669346
338.97256,113.0666249
338.92596,112.7663151
339.14264,112.4660053
338.65872,112.1656956
338.70731,111.8653858
339.35059,111.565076
339.8898,111.2647663
339.27771,110.9644565
339.3107,110.6641468
339.16693,110.363837
339.06973,110.0635272
339.56726,109.7632175
339.21555,109.4629077
338.80447,109.162598
339.55167,108.8622882
339.987,108.5619784
340.50873,108.2616687
340.48441,107.9613589
339.26212,107.6610492
337.67059,107.3607394
337.5491,107.0604296
338.58783,106.7601199
339.21555,106.4598101
339.64883,106.1595004
338.58783,105.8591906
338.82016,105.5588808
338.91531,105.2585711
338.90167,104.9582613
338.03101,104.6579516
338.2168,104.3576418
338.33627,104.057332
