Rxx(Ohm),B(mT)
351.6218,150.0047254
352.03287,149.7044156
350.9357,149.4041059
351.42944,149.1037961
351.86276,148.8034864
351.6218,148.5031766
351.18646,148.2028668
352.44186,147.9025571
352.73145,147.6022473
352.05515,147.3019376
351.93567,147.0016278
351.75568,146.701318
352.12802,146.4010083
351.52463,146.1006985
352.17664,145.8003888
351.74329,145.500079
351.91138,145.1997692
352.2981,144.8994595
352.2009,144.5991497
351.64612,144.2988399
351.93567,143.9985302
352.49048,143.6982204
351.86276,143.3979107
352.00858,143.0976009
352.51477,142.7972911
352.05515,142.4969814
351.6947,142.1966716
352.34671,141.8963619
352.4176,141.5960521
352.26385,141.2957423
351.71899,140.9954326
351.57321,140.6951228
352.78003,140.3948131
352.51477,140.0945033
352.2009,139.7941935
351.74329,139.4938838
352.10373,139.193574
351.91138,138.8932643
353.06958,138.5929545
351.89624,138.2926447
352.07941,137.992335
351.98425,137.6920252
352.27383,137.3917155
352.9501,137.0914057
353.06958,136.7910959
353.06958,136.4907862
353.6973,136.1904764
352.4176,135.8901667
352.78003,135.5898569
353.35913,135.2895471
353.28622,134.9892374
352.24951,134.6889276
352.82861,134.3886179
351.98425,134.0883081
352.44186,133.7879983
352.56335,133.4876886
352.75574,133.1873788
353.40771,132.887069
352.92581,132.5867593
352.90152,132.2864495
353.45633,131.9861398
353.50494,131.68583
354.83121,131.3855202
354.22781,131.0852105
352.78003,130.7849007
352.44186,130.484591
353.45633,130.1842812
354.66315,129.8839714
353.77017,129.5836617
352.61197,129.2833519
353.45633,128.9830422
352.51477,128.6827324
354.22781,128.3824226
352.92581,128.0821129
353.50494,127.7818031
354.42218,127.4814934
353.84308,127.1811836
352.69714,126.8808738
353.19107,126.5805641
353.33484,126.2802543
352.73145,125.9799446
353.19107,125.6796348
352.70712,125.379325
352.26385,125.0790153
352.70712,124.7787055
352.46619,124.4783958
352.58768,124.178086
353.77017,123.8777762
352.24951,123.5774665
352.22961,123.2771567
351.71899,122.9768469
352.75574,122.6765372
352.49048,122.3762274
352.82861,122.0759177
352.49048,121.7756079
353.09387,121.4752981
352.9967,121.1749884
