Rxx(Ohm),T(mK)
361.60361,150.0047254
361.90402,149.7044156
361.07315,149.4041059
361.37613,149.1037961
361.20609,148.8034864
361.57932,148.5031766
361.9769,148.2028668
361.91745,147.9025571
361.2655,147.6022473
360.96518,147.3019376
361.41129,147.0016278
363.60803,146.701318
363.83572,146.4010083
364.05237,146.1006985
363.46225,145.8003888
364.29541,145.500079
362.82126,145.1997692
361.67651,144.8994595
361.53073,144.5991497
360.87878,144.2988399
361.07315,143.9985302
361.00024,143.6982204
362.90747,143.3979107
361.53073,143.0976009
361.17035,142.7972911
361.03534,142.4969814
360.84369,142.1966716
361.04886,141.8963619
362.67786,141.5960521
364.10309,141.2957423
364.06558,140.9954326
362.48557,140.6951228
361.33838,140.3948131
361.9769,140.0945033
362.73743,139.7941935
361.43558,139.4938838
361.31409,139.193574
361.54156,138.8932643
361.86884,138.5929545
360.43195,138.2926447
361.17035,137.992335
361.57932,137.6920252
361.38696,137.3917155
361.27631,137.0914057
361.92831,136.7910959
363.57047,136.4907862
362.09888,136.1904764
361.85797,135.8901667
363.5484,135.5898569
362.10977,135.2895471
362.08749,134.9892374
361.85541,134.6889276
361.24118,134.3886179
361.1926,134.0883081
362.09888,133.7879983
363.36508,133.4876886
361.76025,133.1873788
360.8187,132.887069
361.6279,132.5867593
361.24118,132.2864495
361.79596,131.9861398
362.7131,131.68583
362.99164,131.3855202
363.70319,131.0852105
364.68008,130.7849007
364.39053,130.484591
363.53513,130.1842812
363.65457,129.8839714
362.39929,129.5836617
362.44788,129.2833519
362.59366,128.9830422
362.37704,128.6827324
362.82126,128.3824226
363.77606,128.0821129
365.00705,127.7818031
364.52518,127.4814934
362.13406,127.1811836
361.42209,126.8808738
362.73743,126.5805641
363.36508,126.2802543
364.25793,125.9799446
363.09982,125.6796348
361.65219,125.379325
363.19702,125.0790153
363.13513,124.7787055
362.84793,124.4783958
360.5184,124.178086
360.16956,123.8777762
360.24042,123.5774665
361.57932,123.2771567
361.14603,122.9768469
363.05124,122.6765372
362.96939,122.3762274
