Rxx(Ohm),B(mT)
236.98012,3500
237.46083,3498.59972
236.92238,3497.19944
238.4859,3495.79916
238.24269,3494.39888
235.08423,3492.9986
234.84793,3491.59832
235.77708,3490.19804
238.39301,3488.79776
237.85081,3487.397479
238.21506,3485.997199
237.34351,3484.596919
237.61385,3483.196639
234.9382,3481.796359
233.76607,3480.396079
233.46228,3478.995799
235.86737,3477.595519
234.00352,3476.195239
234.99573,3474.794959
232.05225,3473.394679
236.07654,3471.994399
234.00615,3470.594119
231.63161,3469.193839
231.66136,3467.793559
230.51897,3466.393279
230.51596,3464.992999
230.00447,3463.592719
228.82965,3462.192438
228.0239,3460.792158
226.91179,3459.391878
227.78331,3457.991598
224.77731,3456.591318
225.49495,3455.191038
226.24654,3453.790758
225.22823,3452.390478
222.49255,3450.990198
224.38643,3449.589918
225.04401,3448.189638
223.27431,3446.789358
221.10959,3445.389078
223.00348,3443.988798
220.81253,3442.588518
223.27431,3441.188238
221.10959,3439.787958
220.62843,3438.387678
219.4483,3436.987397
217.91805,3435.587117
220.26781,3434.186837
218.30898,3432.786557
220.08725,3431.386277
217.20129,3429.985997
215.90862,3428.585717
213.62384,3427.185437
216.23947,3425.785157
214.12984,3424.384877
214.58997,3422.984597
216.54413,3421.584317
213.77414,3420.184037
212.5061,3418.783757
212.89703,3417.383477
212.80725,3415.983197
214.76622,3414.582917
211.5721,3413.182637
211.45961,3411.782356
208.75423,3410.382076
208.15251,3408.981796
209.44519,3407.581516
210.1972,3406.181236
208.00221,3404.780956
206.34309,3403.380676
203.64351,3401.980396
209.54039,3400.580116
208.11664,3399.179836
207.46153,3397.779556
206.61346,3396.379276
204.17812,3394.978996
204.12416,3393.578716
204.93619,3392.178436
203.79381,3390.778156
203.97386,3389.377876
201.35184,3387.977596
201.6891,3386.577315
199.97578,3385.177035
202.50113,3383.776755
201.11816,3382.376475
200.00604,3380.976195
201.59932,3379.575915
198.35223,3378.175635
200.34814,3376.775355
198.77339,3375.375075
199.19403,3373.974795
197.51045,3372.574515
200.27638,3371.174235
198.89342,3369.773955
199.19403,3368.373675
195.1283,3366.973395
197.87158,3365.573115
196.51837,3364.172835
197.05956,3362.772555
196.12801,3361.372274
195.65292,3359.971994
195.66954,3358.571714
196.96237,3357.171434
193.39233,3355.771154
193.45236,3354.370874
192.55055,3352.970594
193.27867,3351.570314
194.89534,3350.170034
192.78323,3348.769754
194.59473,3347.369474
191.04704,3345.969194
191.74561,3344.568914
190.65666,3343.168634
189.47575,3341.768354
190.7767,3340.368074
191.6185,3338.967794
190.74646,3337.567514
194.467,3336.167233
193.00145,3334.766953
192.09966,3333.366673
189.47575,3331.966393
189.5143,3330.566113
188.43193,3329.165833
188.64226,3327.765553
191.07732,3326.365273
191.70074,3324.964993
188.37192,3323.564713
187.89075,3322.164433
187.83073,3320.764153
190.867,3319.363873
187.65016,3317.963593
183.35149,3316.563313
181.50841,3315.163033
182.47034,3313.762753
183.55283,3312.362472
181.27704,3310.962192
184.13274,3309.561912
184.30441,3308.161632
183.38124,3306.761352
181.84798,3305.361072
183.32121,3303.960792
183.35149,3302.560512
184.37332,3301.160232
183.17091,3299.759952
