Rxx(Ohm),T(mK)
,4
,12
53.046375,20
53.86129,28
54.503162,36
55.34058,44
56.878498,52
58.316113,60
59.158966,68
60.48708,76
61.656151,84
63.21085,92
64.880379,100
67.7313,108
70.437111,116
73.68763,124
78.55777,132
83.065285,140
87.971596,148
93.05323,156
98.778175,164
104.85404,172
110.93817,180
116.28783,188
121.60681,196
127.38667,204
132.81665,212
138.71898,220
143.37866,228
148.39038,236
152.87294,244
157.21765,252
161.11705,260
165.0114,268
169.68231,276
173.10667,284
177.63174,292
181.82553,300
185.62154,308
189.92972,316
194.00491,324
198.04579,332
202.41338,340
206.78123,348
209.47704,356
212.81056,364
215.72726,372
218.15781,380
220.35173,388
222.79552,396
224.46443,404
226.96835,412
228.49458,420
230.06381,428
231.60495,436
233.65807,444
234.15074,452
234.08252,460
237.3362,468
236.3981,476
237.10266,484
239.9736,492
240.90073,500
241.01689,508
242.26665,516
242.4671,524
243.89029,532
246.57242,540
247.48679,548
248.60498,556
248.37625,564
250.44527,572
249.92532,580
251.02264,588
251.62424,596
252.67661,604
253.12715,612
253.54871,620
254.46379,628
255.27426,636
254.99095,644
255.11169,652
255.02621,660
256.13519,668
256.06863,676
255.84892,684
256.05209,692
256.60312,700
255.2928,708
256.07391,716
256.71716,724
257.14783,732
257.51175,740
257.09641,748
257.40381,756
258.17392,764
258.2796,772
259.26025,780
257.8782,788
256.97086,796
257.12439,804
258.2504,812
257.99695,820
258.04495,828
257.50491,836
258.4657,844
258.89044,852
259.37381,860
259.05731,868
258.43213,876
258.78061,884
258.47336,892
259.24158,900
258.7016,908
259.31403,916
259.08502,924
259.5733,932
258.86493,940
259.40128,948
258.97211,956
259.41876,964
260.12466,972
259.68558,980
259.03815,988
258.61725,996
