ne(cm-2),Rxx(Ohm)
9E+12,-0.69661146
8.99287E+12,-0.69816691
8.98573E+12,-1.5583459
8.9786E+12,1.3895053
8.97146E+12,1.3975791
8.96433E+12,-0.17627445
8.95719E+12,1.939019
8.95006E+12,-0.52810806
8.94293E+12,-2.9765294
8.93579E+12,-0.87348688
8.92866E+12,1.4121062
8.92152E+12,1.059558
8.91439E+12,0
8.90725E+12,-1.5736947
8.90012E+12,-1.9337862
8.89298E+12,-1.9346561
8.88585E+12,1.4044948
8.87872E+12,0.17532559
8.87158E+12,-3.7000947
8.86445E+12,-0.87938911
8.85731E+12,1.4133828
8.85018E+12,-1.2344778
8.84304E+12,1.059558
8.83591E+12,0.87820357
8.82878E+12,-1.7651327
8.82164E+12,-0.53146309
8.81451E+12,0
8.80737E+12,-0.89799017
8.80024E+12,-1.275363
8.7931E+12,2.006012
8.78597E+12,1.4589177
8.77883E+12,-2.1873562
8.7717E+12,0.36168984
8.76457E+12,1.7951554
8.75743E+12,-1.0746174
8.7503E+12,1.9584653
8.74316E+12,1.6111877
8.73603E+12,-0.53657031
8.72889E+12,0
8.72176E+12,2.8722563
8.71463E+12,-1.2729893
8.70749E+12,0.7210443
8.70036E+12,0.17820464
8.69322E+12,-3.0280981
8.68609E+12,-2.3009071
8.67895E+12,0.87820357
8.67182E+12,1.9487009
8.66468E+12,2.8203986
8.65755E+12,-1.5994662
8.65042E+12,2.7089002
8.64328E+12,0.36473024
8.63615E+12,-3.0944252
8.62901E+12,1.0988024
8.62188E+12,-1.4643838
8.61474E+12,-0.72640455
8.60761E+12,0.54178077
8.60048E+12,-0.36118847
8.59334E+12,0
8.58621E+12,0
8.57907E+12,-2.470063
8.57194E+12,-0.87270671
8.5648E+12,2.4133775
8.55767E+12,-1.2077577
8.55054E+12,-2.9487674
8.5434E+12,-0.52621204
8.53627E+12,0.17796123
8.52913E+12,-1.2322539
8.522E+12,0.52644831
8.51486E+12,1.4165844
8.50773E+12,1.072161
8.50059E+12,0
8.49346E+12,3.2209005
8.48633E+12,0.17877524
8.47919E+12,-0.87938911
8.47206E+12,1.2344778
8.46492E+12,-0.8841635
8.45779E+12,3.0102417
8.45065E+12,1.0605164
8.44352E+12,0.70829368
8.43639E+12,0.71739936
8.42925E+12,0.35837081
8.42212E+12,0.53267026
8.41498E+12,5.674099
8.40785E+12,-0.53291237
8.40071E+12,-1.246864
8.39358E+12,-1.7951554
8.38644E+12,1.6075064
8.37931E+12,-1.2519991
8.37218E+12,-1.7943314
8.36504E+12,0
8.35791E+12,0.35804251
8.35077E+12,3.0630193
8.34364E+12,-1.8160074
8.3365E+12,1.6208512
8.32937E+12,-0.5390411
8.32224E+12,-1.4367844
8.3151E+12,1.6126652
8.30797E+12,-0.54429567
8.30083E+12,-0.36371201
8.2937E+12,-0.36068851
8.28656E+12,3.6235967
8.27943E+12,-0.54429567
8.27229E+12,0.36018991
8.26516E+12,-2.3564303
8.25803E+12,0.90338659
8.25089E+12,0
