Rxx(Ohm),ne(cm-2)
0.45901719,1.27997E+13
1.6863664,1.27926E+13
0.61298501,1.27854E+13
1.2250068,1.27783E+13
0.6149177,1.27712E+13
0.6154018,1.27641E+13
0.30782208,1.27569E+13
3.2359478,1.27498E+13
-0.61807805,1.27427E+13
-1.0803529,1.27355E+13
2.0063698,1.27284E+13
1.0824901,1.27213E+13
-1.393427,1.27142E+13
-0.77659214,1.2707E+13
-0.77597541,1.26999E+13
0,1.26928E+13
-0.31275031,1.26856E+13
-0.93749881,1.26785E+13
1.7208115,1.26714E+13
2.1927502,1.26643E+13
-1.4170206,1.26571E+13
-0.47272035,1.265E+13
0,1.26429E+13
-1.1065847,1.26357E+13
-0.47501841,1.26286E+13
-0.79137784,1.26215E+13
0.63004202,1.26144E+13
0.94850117,1.26072E+13
0.94735163,1.26001E+13
0,1.2593E+13
-1.4216018,1.25858E+13
1.4119017,1.25787E+13
0,1.25716E+13
-0.15631229,1.25645E+13
0.15631229,1.25573E+13
-1.0902617,1.25502E+13
-2.1866164,1.25431E+13
-0.77844816,1.25359E+13
-1.555657,1.25288E+13
-0.62127507,1.25217E+13
-1.2435358,1.25146E+13
-0.46595463,1.25074E+13
0.46558461,1.25003E+13
0.62300801,1.24932E+13
0.62127507,1.2486E+13
0.77720982,1.24789E+13
2.9416792,1.24718E+13
1.0876613,1.24647E+13
1.086797,1.24575E+13
1.7037523,1.24504E+13
0.15482523,1.24433E+13
-3.4034584,1.24361E+13
0.31001952,1.2429E+13
0.31137994,1.24219E+13
1.2494988,1.24148E+13
-0.15725668,1.24076E+13
0.62852234,1.24005E+13
0.47176936,1.23934E+13
1.7305199,1.23862E+13
-0.94735163,1.23791E+13
2.9963155,1.2372E+13
1.8924099,1.23649E+13
-1.5795575,1.23577E+13
2.5201693,1.23506E+13
1.7333105,1.23435E+13
-0.94582337,1.23363E+13
-0.15738332,1.23292E+13
-0.62826973,1.23221E+13
-0.78755081,1.23149E+13
0,1.23078E+13
1.7221901,1.23007E+13
-0.47006413,1.22936E+13
-1.4079366,1.22864E+13
0.62600154,1.22793E+13
0,1.22722E+13
-0.78312731,1.2265E+13
0.62550062,1.22579E+13
2.4950161,1.22508E+13
0.3117525,1.22437E+13
-1.8697653,1.22365E+13
1.2430414,1.22294E+13
-0.31088459,1.22223E+13
-2.3372002,1.22151E+13
0.78533542,1.2208E+13
-0.78755081,1.22009E+13
-0.78945971,1.21938E+13
-0.78882241,1.21866E+13
2.5201693,1.21795E+13
-2.6841631,1.21724E+13
-2.2069147,1.21652E+13
0.63055027,1.21581E+13
-0.47329277,1.2151E+13
-1.2682589,1.21439E+13
-1.7375134,1.21367E+13
0.6338737,1.21296E+13
-1.1106275,1.21225E+13
1.9023885,1.21153E+13
0,1.21082E+13
-1.5808352,1.21011E+13
-1.1070324,1.2094E+13
1.7347091,1.20868E+13
2.6787524,1.20797E+13
-0.47082222,1.20726E+13
0.62600154,1.20654E+13
0,1.20583E+13
-0.31451404,1.20512E+13
-0.15738332,1.20441E+13
0.15770082,1.20369E+13
2.6712141,1.20298E+13
0.78533542,1.20227E+13
-0.31514803,1.20155E+13
0.15808353,1.20084E+13
-0.3168084,1.20013E+13
-1.107929,1.19942E+13
1.8931738,1.1987E+13
-0.47501841,1.19799E+13
-1.2718786,1.19728E+13
-0.95042318,1.19656E+13
-1.2636461,1.19585E+13
-3.4891272,1.19514E+13
2.5324159,1.19443E+13
0.63207984,1.19371E+13
-0.95080853,1.193E+13
-1.1047974,1.19229E+13
0.78691655,1.19157E+13
0.62826973,1.19086E+13
-0.15624981,1.19015E+13
-1.2530037,1.18943E+13
-0.31137994,1.18872E+13
-2.180517,1.18801E+13
2.4752488,1.1873E+13
-0.30965111,1.18658E+13
1.393427,1.18587E+13
-0.46595463,1.18516E+13
2.4920332,1.18444E+13
0.93562859,1.18373E+13
0.157004,1.18302E+13
2.0385818,1.18231E+13
2.3578949,1.18159E+13
-2.0584161,1.18088E+13
-0.78850406,1.18017E+13
-0.63131416,1.17945E+13
3.1527445,1.17874E+13
1.254512,1.17803E+13
-1.5713024,1.17732E+13
0.62600154,1.1766E+13
1.4113259,1.17589E+13
1.4079366,1.17518E+13
0.31388262,1.17446E+13
-0.47120062,1.17375E+13
1.1021271,1.17304E+13
1.4164499,1.17233E+13
0.15687796,1.17161E+13
0.15694097,1.1709E+13
0.31413487,1.17019E+13
-0.78438979,1.16947E+13
1.4085004,1.16876E+13
-0.62650323,1.16805E+13
-2.977077,1.16734E+13
1.4079366,1.16662E+13
0.46818724,1.16591E+13
0.78344131,1.1652E+13
-0.94316059,1.16448E+13
0.47329277,1.16377E+13
0.78914094,1.16306E+13
0.3168084,1.16235E+13
1.2631356,1.16163E+13
-1.1092767,1.16092E+13
-1.8947033,1.16021E+13
1.7396225,1.15949E+13
0.94773453,1.15878E+13
-1.9000764,1.15807E+13
0.47695377,1.15736E+13
-0.15989538,1.15664E+13
-0.47948933,1.15593E+13
2.0659623,1.15522E+13
-0.47559643,1.1545E+13
-0.47367516,1.15379E+13
1.5795575,1.15308E+13
3.9377475,1.15237E+13
2.8455033,1.15165E+13
-0.47521091,1.15094E+13
-2.2194467,1.15023E+13
-0.31693685,1.14951E+13
-1.7474115,1.1488E+13
0.47617903,1.14809E+13
3.0145605,1.14738E+13
1.428539,1.14666E+13
0.79363281,1.14595E+13
0.31797031,1.14524E+13
-0.31784105,1.14452E+13
0.31861836,1.14381E+13
1.5911427,1.1431E+13
1.4175915,1.14238E+13
0,1.14167E+13
0.63156915,1.14096E+13
2.5171263,1.14025E+13
-0.79073745,1.13953E+13
-0.47501841,1.13882E+13
2.8501146,1.13811E+13
