Rxx(Ohm),X_axis
6855.0474,0.86455953
6812.978,0.85961819
6525.8481,0.85467696
6623.6182,0.84973556
6461.5015,0.84479427
6354.9443,0.83985293
6282.2451,0.83491164
6247.1436,0.8299703
5800.0542,0.82502896
5880.1948,0.82008767
5795.646,0.81514633
5839.377,0.81020504
5943.5684,0.80526364
6230.7979,0.80032235
6244.7617,0.79538107
6362.5532,0.79043972
6371.877,0.78549844
6151.3315,0.78055704
5915.3022,0.77561575
5572.6992,0.77067441
5411.5068,0.76573312
5447.0308,0.76079178
5667.5977,0.75585043
6166.0303,0.75090915
5857.6162,0.74596781
5851.521,0.74102652
5612.8037,0.73608512
5442.272,0.73114383
5803.416,0.72620255
6016.2568,0.7212612
6012.8154,0.71631992
6477.3574,0.71137851
7237.0562,0.70643723
7416.7207,0.70149589
7938.748,0.6965546
7893.8823,0.69161326
7935.5444,0.68667191
7922.5889,0.68173063
7606.2471,0.67678928
7168.6172,0.671848
6450.9512,0.6669066
6001.9238,0.66196531
5037.6558,0.65702403
4419.1235,0.65208268
4312.7764,0.6471414
4391.1611,0.64219999
4220.7275,0.63725871
4253.7363,0.63231736
4248.7207,0.62737608
4274.4121,0.62243474
4365.5454,0.61749339
4560.5835,0.61255211
4515.2314,0.60761076
4636.9058,0.60266948
4559.9077,0.59772807
4359.1265,0.59278679
4189.3545,0.5878455
4454.9287,0.58290416
4835.6597,0.57796288
5017.8916,0.57302147
5332.105,0.56808019
4718.9893,0.56313884
4442.9946,0.55819756
4446.7261,0.55325621
4483.4194,0.54831487
4595.5527,0.54337358
4471.6631,0.53843224
4488.3828,0.53349096
4771.7969,0.52854955
5054.3774,0.52360827
5031.9487,0.51866698
4708.1157,0.51372564
4547.5229,0.50878435
4443.1187,0.50384295
4569.2241,0.49890167
4379.9536,0.49396035
4028.5583,0.48901904
3831.3665,0.48407766
3788.5557,0.47913635
3679.0725,0.47419503
3508.5222,0.46925375
3667.6367,0.46431243
3585.0503,0.45937106
3559.7017,0.45442975
3498.8027,0.44948843
3586.5479,0.44454712
3610.6995,0.4396058
3465.7739,0.43466446
3587.6912,0.42972314
3663.1692,0.42478183
3538.8674,0.41984048
3350.3462,0.41489917
3209.303,0.40995786
3289.5681,0.40501651
3460.0598,0.40007523
3546.8398,0.39513388
3769.5962,0.39019257
3754.3049,0.38525122
3954.2476,0.38030991
4006.446,0.3753686
3747.053,0.37042725
3870.1768,0.36548597
3737.5852,0.36054462
3922.4976,0.35560331
3970.7573,0.35066196
3689.7029,0.34572065
3455.7441,0.34077933
3426.1108,0.33583799
3194.1912,0.33089671
3048.6714,0.32595536
2975.2378,0.32101405
3000.843,0.3160727
3041.1448,0.31113139
2919.8513,0.30619007
2919.344,0.30124873
2893.6982,0.29630744
2841.7925,0.2913661
2853.4429,0.28642479
2915.9299,0.28148344
2900.7634,0.27654213
2716.5063,0.27160081
2611.2776,0.26665947
2610.5679,0.26171818
2619.0417,0.25677684
2694.8872,0.25183553
2821.6545,0.24689418
3008.9238,0.24195287
2950.1321,0.23701155
2906.3701,0.23207022
2808.0999,0.22712891
2631.8538,0.22218756
2557.3293,0.21724626
2483.5635,0.21230493
2538.1877,0.20736361
2520.7239,0.20242229
2511.8081,0.19748096
2557.8984,0.19253965
2630.0635,0.18759832
2855.8113,0.182657
2927.7124,0.17771567
2835.6675,0.17277434
2785.9351,0.16783303
2615.5798,0.1628917
2510.5728,0.15795039
2393.7161,0.15300906
2435.2002,0.14806774
2453.2859,0.14312641
2379.1145,0.13818508
2414.8794,0.13324377
2423.3147,0.12830244
2453.2715,0.12336113
2507.5149,0.1184198
2590.8782,0.11347847
2715.1697,0.10853715
2757.6577,0.10359583
2824.291,0.098654509
2835.155,0.093713187
2685.1489,0.088771857
2519.0964,0.083830535
2440.1738,0.078889214
2367.3044,0.073947892
2354.3313,0.06900657
2301.9036,0.064065248
2217.9944,0.059123922
2304.9106,0.0541826
2373.3499,0.049241278
2444.0496,0.044299953
2393.1531,0.039358631
2330.1948,0.034417309
2371.2974,0.029475983
2419.6489,0.024534661
2393.3237,0.019593339
2347.3271,0.014652016
2365.252,0.009710693
2341.8218,0.00476937
2189.0874,0.000171953
2104.0337,0.005113276
2050.8835,0.010054599
2036.465,0.014995921
2017.0499,0.019937245
1988.3363,0.024878567
1982.7712,0.029819891
2055.7036,0.034761213
2127.7031,0.039702538
2124.783,0.04464386
2140.7891,0.049585182
2113.718,0.054526508
2186.4763,0.059467826
2289.5107,0.064409152
2334.6582,0.069350474
2273.0142,0.074291795
2168.5249,0.079233117
2118.4099,0.084174447
2073.6384,0.089115761
2008.0825,0.094057091
1961.0992,0.098998412
2001.2559,0.10393973
2016.5533,0.10888106
2010.5858,0.11382239
1997.141,0.1187637
2078.3074,0.12370502
2067.6279,0.12864634
2046.7661,0.13358767
2079.0647,0.138529
2054.6003,0.14347032
2054.8035,0.14841165
2055.9329,0.15335296
2092.3193,0.15829429
2005.6681,0.1632356
1968.5947,0.16817693
1926.309,0.17311826
1909.4777,0.17805958
1940.6436,0.18300089
1870.969,0.18794222
1783.6504,0.19288355
1745.4524,0.19782487
1754.7366,0.20276619
1804.0625,0.20770752
1820.2576,0.21264884
1822.2034,0.21759017
1816.4259,0.22253148
1875.1896,0.22747281
1886.4875,0.23241413
1840.3497,0.23735544
1841.8975,0.24229679
1837.7911,0.2472381
1877.1608,0.25217944
1895.5282,0.25712073
1868.8442,0.26206207
1855.2793,0.26700339
1796.4309,0.2719447
1774.0525,0.27688605
1796.6252,0.28182736
1791.2433,0.2867687
1777.5134,0.29170999
1859.027,0.29665133
1902.1897,0.30159265
1896.6155,0.30653396
1839.2517,0.31147531
1758.9172,0.31641662
1685.1736,0.32135797
1670.8572,0.32629925
1674.0839,0.33124059
1623.4392,0.33618191
1617.043,0.34112322
1619.009,0.34606457
1655.8054,0.35100588
1661.9644,0.35594723
1610.2681,0.36088851
1570.0793,0.36582986
1567.8577,0.37077117
1537.1086,0.37571248
1530.4963,0.38065383
1561.6953,0.38559514
1567.1985,0.39053649
1519.9658,0.39547777
1512.7074,0.40041912
1540.9365,0.40536043
1549.5967,0.41030174
1552.8751,0.41524309
1559.8334,0.4201844
1567.9011,0.42512575
1582.5885,0.43006703
1562.6787,0.43500835
1557.5337,0.43994966
1496.3275,0.44489104
1506.5056,0.44983235
1537.9839,0.45477366
1525.796,0.45971498
1501.396,0.46465632
1488.0781,0.46959764
1470.0073,0.47453895
1476.3025,0.47948027
1424.4014,0.48442158
1453.1602,0.48936296
1458.4174,0.49430427
1422.7197,0.49924555
1414.6201,0.50418687
1361.651,0.50912821
1325.3047,0.51406956
1304.2343,0.51901084
1284.076,0.52395219
1253.5504,0.52889347
1254.4451,0.53383487
1257.0043,0.53877616
1319.3892,0.5437175
1325.3434,0.54865879
1326.4075,0.55360007
1286.1733,0.55854148
1278.8752,0.56348276
1326.3479,0.56842411
1342.3318,0.57336539
1372.1632,0.57830673
1367.7354,0.58324808
1324.1852,0.58818936
1287.7861,0.59313071
1273.3326,0.59807199
1273.3186,0.6030134
1284.3026,0.60795468
1285.73,0.61289603
1274.6852,0.61783731
1266.147,0.62277859
1276.9862,0.62772
1238.3988,0.63266128
1212.0002,0.63760263
1204.0409,0.64254391
1194.4749,0.64748526
1216.5654,0.6524266
1217.8071,0.65736789
1194.6653,0.66230923
1158.9341,0.66725051
1169.0958,0.67219192
1193.3806,0.6771332
1189.6108,0.68207455
1161.1454,0.68701583
1138.1022,0.69195712
1107.5183,0.69689852
1045.8436,0.7018398
1083.14,0.70678115
1060.1204,0.71172243
1027.2103,0.71666378
1031.8571,0.72160512
1030.6198,0.72654641
1016.5609,0.73148775
1032.4592,0.73642904
1041.2219,0.74137044
1047.5991,0.74631172
1005.3129,0.75125307
976.89185,0.75619435
978.54681,0.76113564
1020.6102,0.76607704
1074.9608,0.77101833
1106.1086,0.77595967
1136.749,0.78090096
1123.821,0.7858423
1097.1556,0.79078364
1089.0529,0.79572493
1068.0072,0.80066627
1057.1542,0.80560756
1018.1748,0.81054896
995.7901,0.81549025
988.79791,0.82043159
955.81128,0.82537287
922.29028,0.83031416
910.82904,0.83525556
904.04443,0.84019685
870.76685,0.84513819
872.81244,0.85007948
888.46722,0.85502082
905.4115,0.85996217
922.43896,0.86490345
916.47754,0.86984479
928.79108,0.87478608
905.96338,0.87972742
889.02856,0.88466871
876.58453,0.88961005
863.82812,0.89455146
854.06689,0.89949274
866.63171,0.90443408
855.55334,0.90937537
861.85919,0.91431671
860.16113,0.919258
867.68713,0.92419934
870.0282,0.92914063
874.43958,0.93408197
872.44476,0.93902338
866.16821,0.94396466
859.19666,0.948906
846.55035,0.95384729
834.54382,0.95878863
814.75714,0.96372992
800.26971,0.9686712
785.62549,0.97361255
778.33112,0.97855383
787.39453,0.9834953
814.09558,0.98843658
830.62573,0.99337792
827.44647,0.99831921
824.49005,1.0032605
823.25824,1.0082018
847.13483,1.0131432
873.31598,1.0180844
885.1828,1.0230258
901.46344,1.0279671
889.61084,1.0329084
875.43872,1.0378498
885.57043,1.0427911
883.2392,1.0477325
854.52814,1.0526737
853.05573,1.057615
840.02893,1.0625564
818.57373,1.0674977
826.26733,1.072439
837.77924,1.0773804
836.44702,1.0823218
845.69379,1.087263
833.97559,1.0922043
827.00586,1.0971457
830.88458,1.102087
835.2157,1.1070282
827.51959,1.1119696
817.58093,1.1169109
832.164,1.1218523
825.06097,1.1267936
803.1734,1.131735
812.44214,1.1366762
802.00403,1.1416175
808.0434,1.1465589
818.06427,1.1515002
820.86676,1.1564415
796.24207,1.1613828
778.48175,1.1663241
782.61719,1.1712655
779.07404,1.1762068
772.0072,1.1811482
768.04913,1.1860895
754.92194,1.1910307
