Rxx(Ohm),ne(cm-2)
6448.4727,7.47E+09
6564.6353,7.43E+09
6172.7129,7.39E+09
6594.8555,7.34E+09
6603.917,7.30E+09
5958.7383,7.26E+09
5938.3906,7.22E+09
6042.7114,7.17E+09
5657.3369,7.13E+09
5532.3706,7.09E+09
5627.5444,7.05E+09
5659.2876,7.00E+09
5429.1592,6.96E+09
5859.8354,6.92E+09
6125.7573,6.87E+09
5873.7734,6.83E+09
5665.1836,6.79E+09
5786.4272,6.75E+09
5456.3467,6.70E+09
5260.5757,6.66E+09
4775.3418,6.62E+09
4607.6484,6.58E+09
5148.0039,6.53E+09
5443.4282,6.49E+09
5550.4893,6.45E+09
5470.3608,6.40E+09
5629.209,6.36E+09
5574.8389,6.32E+09
5394.9556,6.28E+09
5348.3481,6.23E+09
5671.8892,6.19E+09
6040.8521,6.15E+09
6419.083,6.11E+09
6470.6855,6.06E+09
6462.9692,6.02E+09
6705.7842,5.98E+09
6969.8755,5.93E+09
6736.4819,5.89E+09
6444.7827,5.85E+09
6407.4785,5.81E+09
5982.4287,5.76E+09
5165.1567,5.72E+09
4470.4707,5.68E+09
4246.5957,5.64E+09
4112.0229,5.59E+09
4016.7834,5.55E+09
3897.8044,5.51E+09
3794.0354,5.46E+09
3765.0762,5.42E+09
3923.1174,5.38E+09
3873.0117,5.34E+09
4077.906,5.29E+09
3937.354,5.25E+09
4299.3101,5.21E+09
4269.769,5.17E+09
4254.8452,5.12E+09
4057.0466,5.08E+09
4211.2109,5.04E+09
4362.2329,5.00E+09
4564.9429,4.95E+09
4280.356,4.91E+09
3971.2012,4.87E+09
4087.7412,4.82E+09
4135.3823,4.78E+09
4179.3535,4.74E+09
4256.3052,4.70E+09
4126.6929,4.65E+09
4229.2471,4.61E+09
4577.3276,4.57E+09
4547.5757,4.53E+09
4422.4741,4.48E+09
4131.0439,4.44E+09
4022.968,4.40E+09
4054.4033,4.35E+09
3834.7029,4.31E+09
3620.2971,4.27E+09
3837.5444,4.23E+09
3948.7517,4.18E+09
3931.9419,4.14E+09
3760.6726,4.10E+09
3593.3127,4.06E+09
3493.8701,4.01E+09
3349.8792,3.97E+09
3686.8018,3.93E+09
3538.9011,3.88E+09
3609.126,3.84E+09
3587.8608,3.80E+09
3559.2859,3.76E+09
3433.0203,3.71E+09
3516.7368,3.67E+09
3414.3167,3.63E+09
3351.2024,3.59E+09
3318.7188,3.54E+09
3339.4216,3.50E+09
3321.8535,3.46E+09
3457.9443,3.42E+09
3595.4341,3.37E+09
3755.271,3.33E+09
3700.387,3.29E+09
3630.6531,3.24E+09
3563.7471,3.20E+09
3493.5249,3.16E+09
3465.2166,3.12E+09
3503.6328,3.07E+09
3358.7383,3.03E+09
3372.168,2.99E+09
3453.4233,2.95E+09
3271.1465,2.90E+09
3011.699,2.86E+09
2917.584,2.82E+09
2972.4348,2.77E+09
3028.168,2.73E+09
2875.2727,2.69E+09
2696.311,2.65E+09
2797.3394,2.60E+09
2731.5022,2.56E+09
2639.0005,2.52E+09
2613.0952,2.48E+09
2616.6426,2.43E+09
2619.3311,2.39E+09
2576.021,2.35E+09
2565.2417,2.30E+09
2542.8564,2.26E+09
2525.8977,2.22E+09
2589.2983,2.18E+09
2747.405,2.13E+09
2739.2004,2.09E+09
2754.3494,2.05E+09
2740.5083,2.01E+09
2580.8022,1.96E+09
2477.4927,1.92E+09
2451.7188,1.88E+09
2383.803,1.83E+09
2444.4724,1.79E+09
2378.5527,1.75E+09
2390.8115,1.71E+09
2483.4575,1.66E+09
2616.6558,1.62E+09
2717.1265,1.58E+09
2720.5369,1.54E+09
2600.0269,1.49E+09
2628.4805,1.45E+09
2599.1719,1.41E+09
2505.3706,1.37E+09
2507.2173,1.32E+09
2554.8127,1.28E+09
2531.1531,1.24E+09
2490.7854,1.19E+09
2451.0391,1.15E+09
2407.8269,1.11E+09
2403.8467,1.07E+09
2459.199,1.02E+09
2555.1855,9.81E+08
2585.9453,9.38E+08
2627.2585,8.95E+08
2607.7583,8.53E+08
2592.8616,8.10E+08
2552.1609,7.67E+08
2534.4519,7.25E+08
2452.3914,6.82E+08
2404.1116,6.39E+08
2398.1499,5.96E+08
2274.6353,5.54E+08
2229.2231,5.11E+08
2238.6548,4.68E+08
2273.7197,4.26E+08
2334.8025,3.83E+08
2268.9868,3.40E+08
2193.9272,2.97E+08
2223.6365,2.55E+08
2278.718,2.12E+08
2324.6013,1.69E+08
2226.4338,1.27E+08
