Rxx(Ohm),ne(cm-2)
0.000180555,8.76593E+12
0.00018077,8.74073E+12
0.000181199,8.71552E+12
0.000180555,8.69032E+12
0.000180317,8.66511E+12
0.000180054,8.63991E+12
0.000180054,8.6147E+12
0.000179435,8.5895E+12
0.0001786,8.56429E+12
0.000176144,8.53909E+12
0.000175405,8.51389E+12
0.000175691,8.48868E+12
0.000175405,8.46348E+12
0.000174952,8.43827E+12
0.000175286,8.41307E+12
0.000175334,8.38786E+12
0.000175334,8.36266E+12
0.000175238,8.33745E+12
0.00017531,8.31225E+12
0.000175191,8.28704E+12
0.000174189,8.26184E+12
0.000175238,8.23663E+12
0.000175215,8.21143E+12
0.000174857,8.18622E+12
0.000174857,8.16102E+12
0.000174833,8.13581E+12
0.000174952,8.11061E+12
0.000174714,8.0854E+12
0.00017314,8.0602E+12
0.000172568,8.03499E+12
0.000172306,8.00979E+12
0.000173689,7.98458E+12
0.000172902,7.95938E+12
0.000173546,7.93417E+12
0.000173069,7.90897E+12
0.000171138,7.88376E+12
0.000171519,7.85856E+12
0.00017202,7.83335E+12
0.000170923,7.80815E+12
0.000170518,7.78295E+12
0.000170327,7.75774E+12
0.000168968,7.73254E+12
0.000168706,7.70733E+12
0.000169397,7.68213E+12
0.000169373,7.65692E+12
0.000169397,7.63172E+12
0.000167776,7.60651E+12
0.000166345,7.58131E+12
0.000166584,7.5561E+12
0.000166941,7.5309E+12
0.000165535,7.50569E+12
0.000165606,7.48049E+12
0.000165439,7.45528E+12
0.000165058,7.43008E+12
0.000165153,7.40487E+12
0.000165368,7.37967E+12
0.000165034,7.35446E+12
0.000164367,7.32926E+12
0.000162888,7.30405E+12
0.000161672,7.27885E+12
0.000161601,7.25364E+12
0.000160695,7.22844E+12
0.000159312,7.20323E+12
0.000159312,7.17803E+12
0.000160838,7.15282E+12
0.000161005,7.12762E+12
0.000160838,7.10241E+12
0.000161005,7.07721E+12
0.000160075,7.05201E+12
0.000159074,7.0268E+12
0.000157643,7.0016E+12
0.000158239,6.97639E+12
0.00015812,6.95119E+12
0.00015688,6.92598E+12
0.000157786,6.90078E+12
0.000158907,6.87557E+12
0.000158835,6.85037E+12
0.00015781,6.82516E+12
0.000156236,6.79996E+12
0.000156356,6.77475E+12
0.00015607,6.74955E+12
0.000155855,6.72434E+12
0.000154734,6.69914E+12
0.000152899,6.67393E+12
0.000153638,6.64873E+12
0.00015297,6.62352E+12
0.000151325,6.59832E+12
0.000150681,6.57311E+12
0.000149322,6.54791E+12
0.000149513,6.5227E+12
0.000148321,6.4975E+12
0.000146223,6.47229E+12
0.000144769,6.44709E+12
0.000145031,6.42188E+12
0.000142957,6.39668E+12
0.000142194,6.37147E+12
0.000142718,6.34627E+12
